engine,query_id,repetition,planner_ms,planner_binding_ms,optimizer_ms,physical_planner_ms,status
duckdb,query_34,2,0.6519,0.6484,0.8626,0.0936,ok
duckdb,query_35,2,0.4972,0.4935,0.5374,0.0849,ok
duckdb,query_36,2,1.2983,1.2944,1.5888,43.6970,ok
duckdb,query_37,2,0.5860,0.5637,0.6772,0.1021,ok
duckdb,query_38,2,0.4696,0.4579,0.5519,0.0832,ok
duckdb,query_39,2,3.2252,3.1533,3.2627,0.3172,ok
duckdb,query_4,2,0.4106,0.4079,0.6091,0.0729,ok
duckdb,query_40,2,0.5994,0.5968,0.6808,0.1012,ok
duckdb,query_41,2,0.6230,0.6170,1.9827,0.1294,ok
duckdb,query_42,2,0.6727,0.6468,0.9700,0.0882,ok
duckdb,query_43,2,0.6286,0.6216,1.1626,0.1473,ok
duckdb,query_44,2,0.6031,0.5836,0.7070,0.1037,ok
duckdb,query_45,2,0.2527,0.2496,0.3669,0.0501,ok
duckdb,query_46,2,0.6585,0.6398,0.5553,0.1143,ok
duckdb,query_47,2,1.7766,1.7395,1.2822,0.1649,ok
duckdb,query_48,2,1.4385,1.4342,1.5328,0.1831,ok
duckdb,query_49,2,0.9036,0.8983,1.2482,0.0889,ok
duckdb,query_5,2,0.4567,0.4361,0.6897,0.0794,ok
duckdb,query_50,2,0.6950,0.6730,1.9967,0.1752,ok
duckdb,query_51,2,0.8738,0.8544,0.9885,0.1318,ok
duckdb,query_52,2,0.3270,0.3247,0.3489,0.0479,ok
duckdb,query_53,2,0.6063,0.6022,2.0233,0.1224,ok
duckdb,query_54,2,0.5967,0.5938,0.6854,0.1339,ok
duckdb,query_55,2,0.3023,0.2989,0.3204,0.0474,ok
duckdb,query_56,2,0.4957,0.4930,0.7244,0.0798,ok
duckdb,query_57,2,0.4057,0.4028,0.6825,0.0901,ok
duckdb,query_58,2,0.8768,0.8575,0.9578,0.1173,ok
duckdb,query_59,2,0.2628,0.2600,0.3852,0.0491,ok
duckdb,query_6,2,1.3780,1.3202,1.9609,0.1983,ok
duckdb,query_60,2,1.2656,1.2594,1.5974,0.1411,ok
duckdb,query_61,2,0.3330,0.3290,0.4939,0.0666,ok
duckdb,query_62,2,0.6619,0.6302,1.3463,0.0700,ok
duckdb,query_63,2,1.1143,1.1116,2.0833,0.0698,ok
duckdb,query_64,2,0.4460,0.4423,0.5009,0.0801,ok
duckdb,query_65,2,0.5286,0.5243,0.5876,0.0881,ok
duckdb,query_66,2,1.7867,1.7823,8.8909,0.1927,ok
duckdb,query_67,2,0.3229,0.3198,0.5710,0.0526,ok
duckdb,query_68,2,1.0542,1.0164,1.6765,0.1916,ok
duckdb,query_69,2,1.6832,1.6281,2.3622,0.3230,ok
duckdb,query_7,2,0.5492,0.5304,0.6745,0.0980,ok
duckdb,query_70,2,0.6956,0.6692,0.9308,0.1510,ok
duckdb,query_71,2,0.4874,0.4844,0.6839,0.1034,ok
duckdb,query_72,2,0.4800,0.4770,0.8151,0.1147,ok
duckdb,query_73,2,0.5791,0.5763,0.9785,0.0866,ok
duckdb,query_74,2,0.4821,0.4793,0.9983,0.0633,ok
duckdb,query_75,2,0.6062,0.5836,0.6650,0.1188,ok
duckdb,query_76,2,0.8991,0.8808,0.8536,0.1367,ok
duckdb,query_77,2,0.5866,0.5843,0.6698,0.1227,ok
duckdb,query_78,2,1.5238,1.3707,1.6462,0.3592,ok
duckdb,query_79,2,0.4494,0.4470,0.7466,0.0675,ok
duckdb,query_8,2,0.4054,0.4020,0.9036,0.0795,ok
duckdb,query_80,2,0.4554,0.4521,0.7332,0.0535,ok
duckdb,query_81,2,0.8861,0.8412,1.2848,0.1665,ok
duckdb,query_82,2,0.3449,0.3414,0.4395,0.0525,ok
duckdb,query_83,2,0.9215,0.8771,1.2480,0.1810,ok
duckdb,query_84,2,0.9070,0.8866,0.7525,0.1214,ok
duckdb,query_85,2,0.3723,0.3676,0.6343,0.0793,ok
duckdb,query_86,2,0.5063,0.5033,0.6410,0.0919,ok
duckdb,query_87,2,0.6465,0.6423,4.3878,0.1392,ok
duckdb,query_88,2,0.6986,0.6958,0.7827,0.0769,ok
duckdb,query_89,2,0.6159,0.6132,0.6848,0.0810,ok
duckdb,query_9,2,0.5180,0.5136,2.0477,0.1251,ok
duckdb,query_90,2,0.5175,0.5136,1.2498,0.1531,ok
duckdb,query_91,2,0.4967,0.4938,1.1951,0.0718,ok
duckdb,query_92,2,0.5688,0.5524,1.3561,0.1356,ok
duckdb,query_93,2,1.4878,1.4510,1.5425,0.1944,ok
duckdb,query_94,2,1.2141,1.2091,1.3362,0.1197,ok
duckdb,query_95,2,0.5650,0.5617,0.8789,0.1145,ok
duckdb,query_96,2,1.0178,0.9796,1.0814,0.1303,ok
duckdb,query_97,2,0.6569,0.6531,1.5673,0.0967,ok
duckdb,query_98,2,1.4947,1.4231,1.5425,0.4112,ok
duckdb,query_99,2,0.5969,0.5934,0.6485,0.1088,ok
duckdb,query_1,3,0.2504,0.2480,0.4382,0.0630,ok
duckdb,query_10,3,1.0556,1.0149,1.3351,0.1798,ok
duckdb,query_11,3,0.7989,0.7943,0.5355,0.1064,ok
duckdb,query_12,3,0.4256,0.4171,0.5115,0.0703,ok
duckdb,query_13,3,0.4014,0.3982,1.0442,0.0809,ok
duckdb,query_14,3,0.4907,0.4883,0.6178,0.0501,ok
duckdb,query_15,3,0.4338,0.4301,0.5155,0.0663,ok
duckdb,query_16,3,0.3476,0.3442,0.6458,0.0881,ok
duckdb,query_17,3,0.7938,0.7757,0.7502,0.0887,ok
duckdb,query_18,3,0.3911,0.3886,0.7443,0.0907,ok
duckdb,query_19,3,1.0211,0.9955,1.3016,0.1719,ok
duckdb,query_2,3,0.3106,0.3070,0.6235,0.0698,ok
duckdb,query_20,3,1.2323,1.1780,3.5976,0.2786,ok
duckdb,query_21,3,0.4640,0.4600,0.5710,0.0720,ok
duckdb,query_22,3,0.6926,0.6606,1.2785,0.1803,ok
