engine,query_id,repetition,planner_ms,planner_binding_ms,optimizer_ms,physical_planner_ms,status
duckdb,query_30,3,1.3629,1.3539,0.8169,1.9296,ok
duckdb,query_31,3,0.5158,0.5132,0.4988,0.8537,ok
duckdb,query_32,3,0.4041,0.4017,0.3654,0.6546,ok
duckdb,query_33,3,0.8816,0.8788,1.5870,1.3799,ok
duckdb,query_35,3,0.5699,0.5674,0.4133,0.6118,ok
duckdb,query_36,3,1.7557,1.7528,1.3979,1.3499,ok
duckdb,query_37,3,0.8904,0.8702,0.5816,1.8745,ok
duckdb,query_39,3,2.4874,2.4840,1.6677,2.5746,ok
duckdb,query_4,3,0.5867,0.5840,0.4999,1.0430,ok
duckdb,query_40,3,0.7456,0.7428,0.5582,1.1347,ok
duckdb,query_41,3,0.7801,0.7766,1.7255,1.6530,ok
duckdb,query_42,3,1.0738,1.0554,0.8132,1.7465,ok
duckdb,query_43,3,0.8371,0.8320,0.9331,1.4250,ok
duckdb,query_44,3,0.5914,0.5809,0.4752,1.0411,ok
duckdb,query_45,3,0.2977,0.2953,0.3481,0.6113,ok
duckdb,query_46,3,0.8183,0.8072,0.4396,1.0284,ok
duckdb,query_47,3,2.0101,1.9876,1.2611,3.3684,ok
duckdb,query_48,3,1.7352,1.7323,1.1504,2.8476,ok
duckdb,query_49,3,3.2212,3.2168,1.1048,2.4444,ok
duckdb,query_5,3,0.6570,0.6479,0.5373,1.2078,ok
duckdb,query_50,3,1.1874,1.1767,1.6601,2.8725,ok
duckdb,query_51,3,1.2201,1.2068,1.3097,2.9322,ok
duckdb,query_52,3,0.3163,0.3142,0.2461,0.4485,ok
duckdb,query_53,3,0.7016,0.6989,1.6278,1.2653,ok
duckdb,query_54,3,0.7820,0.7796,0.5473,1.7871,ok
duckdb,query_55,3,0.3119,0.3096,0.2121,0.3554,ok
duckdb,query_56,3,0.5484,0.5460,0.5753,0.9163,ok
duckdb,query_57,3,0.4636,0.4612,0.5389,0.8399,ok
duckdb,query_58,3,0.6279,0.6251,0.6259,1.2367,ok
duckdb,query_59,3,0.3554,0.3528,0.3474,0.6003,ok
duckdb,query_6,3,2.6282,2.5968,1.7588,3.5912,ok
duckdb,query_60,3,0.6444,0.6416,0.7475,1.1394,ok
duckdb,query_61,3,0.3214,0.3188,0.3233,0.5794,ok
duckdb,query_62,3,0.8670,0.8436,1.2265,1.2091,ok
duckdb,query_63,3,2.6861,2.6832,1.9040,2.4300,ok
duckdb,query_64,3,0.3821,0.3796,0.3580,0.6520,ok
duckdb,query_65,3,0.3750,0.3725,0.3556,0.6607,ok
duckdb,query_66,3,3.8095,3.8055,22.0011,4.4443,ok
duckdb,query_67,3,0.3830,0.3805,0.4344,0.6647,ok
duckdb,query_68,3,1.6936,1.6700,0.8871,2.2812,ok
duckdb,query_69,3,2.7129,2.6921,1.6819,5.0573,ok
duckdb,query_7,3,0.6055,0.5923,0.5046,1.3098,ok
duckdb,query_70,3,1.0051,0.9883,0.7753,1.6049,ok
duckdb,query_71,3,0.6919,0.6894,0.5171,1.4490,ok
duckdb,query_73,3,0.7056,0.7031,0.7595,1.2705,ok
duckdb,query_74,3,0.5765,0.5745,0.7394,0.8064,ok
duckdb,query_75,3,0.7111,0.6973,0.6127,1.6837,ok
duckdb,query_76,3,1.3328,1.3221,0.8146,2.2078,ok
duckdb,query_77,3,0.7845,0.7821,0.5290,1.7778,ok
duckdb,query_79,3,0.6568,0.6543,0.6631,1.1589,ok
duckdb,query_8,3,0.5189,0.5161,0.7305,1.0219,ok
duckdb,query_80,3,0.4238,0.4213,0.4759,0.5914,ok
duckdb,query_81,3,1.6953,1.6731,1.0587,2.2877,ok
duckdb,query_82,3,0.2429,0.2407,0.2610,0.3350,ok
duckdb,query_83,3,1.5948,1.5731,1.0697,2.1613,ok
duckdb,query_84,3,1.1650,1.1521,0.6109,1.3168,ok
duckdb,query_85,3,0.4848,0.4822,0.5045,0.7107,ok
duckdb,query_86,3,0.5543,0.5519,0.4898,0.7945,ok
duckdb,query_87,3,1.0492,1.0461,3.4820,2.0955,ok
duckdb,query_88,3,0.8496,0.8472,0.7122,1.0270,ok
