engine,query_id,repetition,planner_ms,planner_binding_ms,optimizer_ms,physical_planner_ms,status
duckdb,query_45,2,0.2492,0.2469,0.2643,0.4157,ok
duckdb,query_46,2,0.8371,0.8264,0.4295,0.9263,ok
duckdb,query_47,2,1.9148,1.8919,0.9935,2.4214,ok
duckdb,query_48,2,2.0343,2.0310,1.3881,2.6051,ok
duckdb,query_49,2,3.1960,3.1911,1.0875,2.3795,ok
duckdb,query_5,2,0.6383,0.6291,0.5627,1.1808,ok
duckdb,query_50,2,1.1697,1.1590,1.7006,2.8948,ok
duckdb,query_51,2,1.4472,1.4334,0.8154,2.2507,ok
duckdb,query_52,2,0.3087,0.3065,0.2482,0.3420,ok
duckdb,query_53,2,0.6723,0.6694,1.7165,1.3807,ok
duckdb,query_54,2,0.7823,0.7799,0.5430,1.7494,ok
duckdb,query_55,2,0.3008,0.2981,0.2207,0.4224,ok
duckdb,query_56,2,0.5551,0.5527,0.5576,0.8365,ok
duckdb,query_57,2,0.3727,0.3703,0.4690,0.7489,ok
duckdb,query_58,2,0.7052,0.6945,0.6842,1.6831,ok
duckdb,query_59,2,0.2724,0.2699,0.2839,0.4523,ok
duckdb,query_6,2,2.3779,2.3456,1.5791,3.1899,ok
duckdb,query_60,2,1.3158,1.3126,1.2750,1.0725,ok
duckdb,query_61,2,0.2836,0.2807,0.2800,0.4665,ok
duckdb,query_62,2,0.8294,0.8057,1.1626,1.1179,ok
duckdb,query_63,2,2.5867,2.5837,1.8618,2.1935,ok
duckdb,query_64,2,0.4393,0.4364,0.3608,0.6248,ok
duckdb,query_65,2,0.4155,0.4127,0.3581,0.6189,ok
duckdb,query_66,2,3.5578,3.5541,8.2563,3.7339,ok
duckdb,query_67,2,0.3760,0.3732,0.4382,0.6228,ok
duckdb,query_68,2,1.7373,1.7130,1.3650,3.3980,ok
duckdb,query_69,2,3.0151,2.9937,1.9652,5.9687,ok
duckdb,query_7,2,0.5740,0.5625,0.5051,1.0053,ok
duckdb,query_70,2,1.0397,1.0231,0.7882,1.5994,ok
duckdb,query_71,2,0.6530,0.6504,0.5551,1.4701,ok
duckdb,query_72,2,0.6579,0.6546,0.6183,1.4599,ok
duckdb,query_73,2,0.5975,0.5951,0.7160,1.2387,ok
duckdb,query_74,2,0.5597,0.5576,0.7580,0.8667,ok
duckdb,query_75,2,0.7806,0.7660,0.5013,1.3069,ok
duckdb,query_76,2,1.3209,1.3095,0.7176,2.0790,ok
duckdb,query_77,2,0.7687,0.7662,0.5318,1.7455,ok
duckdb,query_78,2,2.2989,2.2556,1.3849,3.1792,ok
duckdb,query_79,2,0.5434,0.5411,0.6173,1.0532,ok
duckdb,query_8,2,0.4799,0.4774,0.6774,0.9341,ok
duckdb,query_80,2,0.4071,0.4049,0.4827,0.5721,ok
duckdb,query_81,2,1.6153,1.5917,1.1023,2.3546,ok
duckdb,query_82,2,0.2471,0.2444,0.2551,0.3862,ok
duckdb,query_83,2,1.5958,1.5729,1.0845,2.2506,ok
duckdb,query_84,2,1.1055,1.0926,0.5960,1.2842,ok
duckdb,query_85,2,0.4024,0.3920,0.4662,0.6912,ok
duckdb,query_86,2,0.5569,0.5543,0.5682,0.7802,ok
duckdb,query_87,2,0.9508,0.9474,3.4451,2.0545,ok
duckdb,query_88,2,0.7391,0.7368,0.6137,0.8947,ok
duckdb,query_89,2,0.5515,0.5489,0.5201,0.9488,ok
duckdb,query_9,2,0.6316,0.6285,1.7461,1.2270,ok
duckdb,query_90,2,0.6455,0.6424,0.9635,1.2443,ok
duckdb,query_91,2,0.7012,0.6988,0.9868,1.0488,ok
duckdb,query_92,2,0.8890,0.8782,1.0729,1.4027,ok
duckdb,query_93,2,2.5778,2.5583,1.2443,4.0174,ok
