engine,query_name,status,execution_time_s,paper_category,detail_reason_code,detail_signature
postgres,query_30.sql,ERROR,1800.051000,TIMEOUT,statement timeout (~1800s),
postgres,query_31.sql,SUCCESS,77.193000,SUCCESS,,
postgres,query_32.sql,SUCCESS,30.208000,SUCCESS,,
postgres,query_33.sql,SUCCESS,106.185000,SUCCESS,,
postgres,query_34.sql,SUCCESS,32.474000,SUCCESS,,
postgres,query_35.sql,ERROR,1800.074000,TIMEOUT,statement timeout (~1800s),
postgres,query_36.sql,SUCCESS,32.956000,SUCCESS,,
postgres,query_37.sql,SUCCESS,0.338000,SUCCESS,,
postgres,query_38.sql,SUCCESS,122.211000,SUCCESS,,
postgres,query_39.sql,SUCCESS,53.928000,SUCCESS,,
postgres,query_40.sql,SUCCESS,33.721000,SUCCESS,,
postgres,query_41.sql,ERROR,1800.049000,TIMEOUT,statement timeout (~1800s),
postgres,query_42.sql,SUCCESS,72.970000,SUCCESS,,
postgres,query_43.sql,SUCCESS,32.626000,SUCCESS,,
postgres,query_44.sql,SUCCESS,61.647000,SUCCESS,,
postgres,query_45.sql,SUCCESS,13.086000,SUCCESS,,
postgres,query_46.sql,SUCCESS,38.383000,SUCCESS,,
postgres,query_47.sql,SUCCESS,64.199000,SUCCESS,,
postgres,query_48.sql,SUCCESS,33.953000,SUCCESS,,
postgres,query_49.sql,SUCCESS,81.798000,SUCCESS,,
postgres,query_50.sql,SUCCESS,128.204000,SUCCESS,,
postgres,query_51.sql,SUCCESS,54.002000,SUCCESS,,
postgres,query_52.sql,SUCCESS,63.642000,SUCCESS,,
postgres,query_53.sql,SUCCESS,559.781000,SUCCESS,,
postgres,query_54.sql,ERROR,0.107000,FAILURE,SCALAR_SUBQUERY_MULTIPLE_ROWS,psql:<stdin>:55: ERROR:  more than one row returned by a subquery used as an expression
postgres,query_55.sql,SUCCESS,48.950000,SUCCESS,,
postgres,query_56.sql,SUCCESS,158.257000,SUCCESS,,
postgres,query_57.sql,SUCCESS,78.904000,SUCCESS,,
postgres,query_58.sql,SUCCESS,0.082000,SUCCESS,,
postgres,query_59.sql,SUCCESS,93.769000,SUCCESS,,
postgres,query_60.sql,ERROR,1800.188000,TIMEOUT,statement timeout (~1800s),
postgres,query_61.sql,SUCCESS,62.658000,SUCCESS,,
