engine,query_name,median_s,mean_s,stddev_s,n_success
duckdb,query_6.sql,0.765299,0.761127,0.054361,10
duckdb,query_60.sql,1.051922,1.030383,0.086678,10
duckdb,query_61.sql,0.282815,0.284805,0.009795,10
duckdb,query_62.sql,0.483235,0.490726,0.025283,10
duckdb,query_63.sql,0.675745,0.674218,0.026093,10
duckdb,query_64.sql,2.174225,2.171708,0.049948,10
duckdb,query_65.sql,1.472754,1.472583,0.028062,10
duckdb,query_66.sql,0.680073,0.684396,0.064633,10
duckdb,query_67.sql,7.272935,7.267204,0.372814,10
duckdb,query_68.sql,1.021393,1.020516,0.018784,10
duckdb,query_69.sql,0.740513,0.748197,0.054257,10
duckdb,query_7.sql,1.066776,1.060955,0.036656,10
duckdb,query_70.sql,0.737698,0.753098,0.038377,10
duckdb,query_71.sql,0.994912,0.993305,0.038140,10
duckdb,query_72.sql,1.193146,1.190328,0.025084,10
duckdb,query_73.sql,0.732930,0.723493,0.043765,10
duckdb,query_74.sql,1.255111,1.260385,0.030234,10
duckdb,query_75.sql,2.147050,2.129530,0.067250,10
duckdb,query_76.sql,1.076604,1.074083,0.034174,10
duckdb,query_77.sql,0.801751,0.805464,0.030550,10
duckdb,query_78.sql,3.204977,3.230618,0.094159,10
duckdb,query_79.sql,0.800892,0.810480,0.027557,10
duckdb,query_8.sql,0.872621,0.879964,0.027158,10
duckdb,query_80.sql,1.656535,1.652972,0.062958,10
duckdb,query_81.sql,0.628418,0.633340,0.033411,10
duckdb,query_82.sql,0.620947,0.610217,0.039739,10
duckdb,query_83.sql,0.438337,0.435611,0.028270,10
duckdb,query_84.sql,0.308498,0.311627,0.025305,10
duckdb,query_85.sql,0.686796,0.688171,0.023156,10
duckdb,query_86.sql,0.551235,0.551540,0.028260,10
duckdb,query_87.sql,0.892013,0.898259,0.023799,10
duckdb,query_88.sql,1.029309,1.029124,0.062111,10
duckdb,query_89.sql,0.753183,0.757014,0.020383,10
duckdb,query_9.sql,0.847392,0.853381,0.019515,10
duckdb,query_90.sql,0.320026,0.324464,0.027109,10
duckdb,query_91.sql,0.295489,0.298837,0.016349,10
duckdb,query_92.sql,0.462393,0.476696,0.050154,10
duckdb,query_93.sql,2.178247,2.168319,0.052762,10
duckdb,query_94.sql,0.490586,0.496559,0.027617,10
duckdb,query_95.sql,1.526407,1.519214,0.056913,10
duckdb,query_96.sql,0.463806,0.478211,0.024590,10
duckdb,query_97.sql,1.593229,1.605703,0.051131,10
duckdb,query_98.sql,0.893404,0.898871,0.032959,10
duckdb,query_99.sql,0.569497,0.578985,0.029901,10
monetdb,query_1.sql,1.647977,1.614757,0.186071,10
monetdb,query_10.sql,0.353094,0.365763,0.030540,10
monetdb,query_11.sql,25.316009,25.319533,2.013294,10
monetdb,query_12.sql,0.203853,0.203972,0.006454,10
monetdb,query_13.sql,0.567573,0.567668,0.009931,10
monetdb,query_14.sql,37.143163,37.508660,2.019867,10
monetdb,query_15.sql,0.449280,0.452472,0.061032,10
monetdb,query_16.sql,0.316282,0.331826,0.049511,10
monetdb,query_17.sql,13.775011,13.645052,1.699944,10
monetdb,query_18.sql,3.087991,3.070238,0.173484,10
monetdb,query_19.sql,0.899444,0.714038,0.334545,10
monetdb,query_2.sql,5.122601,5.200539,0.306334,10
monetdb,query_20.sql,0.165042,0.163545,0.011724,10
monetdb,query_21.sql,0.437497,0.436041,0.042364,10
monetdb,query_22.sql,15.994577,16.004503,0.428094,10
monetdb,query_23.sql,66.607903,67.514295,8.997657,10
monetdb,query_24.sql,25.202926,24.171040,2.426177,10
monetdb,query_25.sql,4.883347,4.901055,0.175337,10
monetdb,query_26.sql,0.249845,0.245004,0.015843,10
monetdb,query_27.sql,4.729793,4.717715,0.149341,10
monetdb,query_28.sql,0.425810,0.413936,0.041239,10
monetdb,query_29.sql,5.158703,5.234166,0.194608,10
monetdb,query_3.sql,0.365935,0.364838,0.006804,10
monetdb,query_30.sql,0.299268,0.296953,0.019903,10
monetdb,query_31.sql,7.888219,7.902208,0.129140,10
monetdb,query_32.sql,0.330901,0.332188,0.006453,10
monetdb,query_33.sql,0.304772,0.934446,1.358876,10
monetdb,query_34.sql,0.205735,0.205931,0.016618,10
monetdb,query_35.sql,4.812856,4.738561,0.466927,10
monetdb,query_36.sql,0.015159,0.015481,0.001222,10
monetdb,query_37.sql,33.069541,33.064821,1.829851,10
monetdb,query_38.sql,12.483065,12.521696,0.609182,10
monetdb,query_39.sql,9.579389,9.532834,0.169743,10
monetdb,query_4.sql,44.520904,44.592298,1.481695,10
monetdb,query_40.sql,5.964758,6.053180,0.315466,10
monetdb,query_41.sql,0.024059,0.023550,0.001267,10
monetdb,query_42.sql,0.887406,0.907284,0.074405,10
monetdb,query_43.sql,0.258987,0.264475,0.013038,10
monetdb,query_44.sql,1.671930,1.704989,0.147164,10
monetdb,query_45.sql,0.080709,0.081150,0.015189,10
monetdb,query_46.sql,0.323060,0.322900,0.003936,10
monetdb,query_47.sql,4.367648,4.555749,0.486037,10
monetdb,query_48.sql,0.597013,0.599165,0.007953,10
monetdb,query_49.sql,2.436866,2.438587,0.103826,10
monetdb,query_5.sql,16.730569,17.169270,1.191090,10
monetdb,query_50.sql,0.469581,0.517211,0.167357,10
monetdb,query_51.sql,17.727993,17.508822,1.055309,10
monetdb,query_52.sql,0.965577,0.913647,0.427509,10
monetdb,query_53.sql,0.169449,0.175307,0.017219,10
monetdb,query_54.sql,3.563634,3.535327,0.158941,10
monetdb,query_55.sql,0.218466,0.218033,0.004307,10
monetdb,query_56.sql,0.133823,0.142812,0.017622,10
monetdb,query_57.sql,0.440269,0.454269,0.049722,10
monetdb,query_58.sql,4.742131,4.749265,0.096045,10
monetdb,query_6.sql,2.650537,2.600014,0.249434,10
monetdb,query_60.sql,0.250777,0.408525,0.322850,10
monetdb,query_61.sql,0.039483,0.038309,0.004793,10
monetdb,query_62.sql,1.473203,1.480351,0.024819,10
monetdb,query_63.sql,0.161844,0.159153,0.010765,10
monetdb,query_64.sql,6.576096,6.543242,0.716880,10
monetdb,query_65.sql,10.716653,10.881998,1.286581,10
monetdb,query_66.sql,2.116719,2.101321,0.564961,10
monetdb,query_67.sql,46.971095,47.199843,2.178878,10
monetdb,query_68.sql,0.170051,0.176749,0.020408,10
monetdb,query_69.sql,1.512996,1.535586,0.137970,10
monetdb,query_7.sql,0.427543,0.420528,0.021458,10
monetdb,query_70.sql,0.016408,0.016285,0.001225,10
monetdb,query_71.sql,1.063096,1.053364,0.042118,10
monetdb,query_72.sql,2.899737,2.919670,0.267209,10
monetdb,query_73.sql,0.132403,0.124558,0.013941,10
monetdb,query_74.sql,17.031363,17.127118,0.775996,10
monetdb,query_75.sql,37.870250,38.197488,2.196571,10
monetdb,query_76.sql,0.796153,0.784778,0.099103,10
monetdb,query_77.sql,3.977728,4.013822,0.174885,10
monetdb,query_78.sql,85.334614,84.464276,10.135340,10
monetdb,query_79.sql,0.177954,0.184488,0.019696,10
monetdb,query_8.sql,1.265270,1.273564,0.072279,10
monetdb,query_80.sql,53.022097,65.642213,17.888276,10
monetdb,query_81.sql,0.736668,0.747233,0.098086,10
monetdb,query_82.sql,8.639879,8.381945,0.739095,10
monetdb,query_83.sql,0.627301,0.642375,0.055401,10
monetdb,query_84.sql,0.096347,0.097505,0.003832,10
monetdb,query_85.sql,0.701793,0.707077,0.041525,10
monetdb,query_86.sql,0.014037,0.013987,0.000631,10
monetdb,query_87.sql,12.194924,12.428526,0.527165,10
monetdb,query_88.sql,0.478465,0.490234,0.020177,10
monetdb,query_89.sql,0.222974,0.225526,0.009308,10
monetdb,query_9.sql,0.638886,0.661671,0.070042,10
monetdb,query_90.sql,0.042814,0.043005,0.001987,10
monetdb,query_91.sql,0.063523,0.070477,0.018556,10
monetdb,query_92.sql,0.151334,0.165011,0.043207,10
monetdb,query_93.sql,10.914981,10.919583,0.352172,10
monetdb,query_94.sql,0.267989,0.316296,0.163635,10
monetdb,query_95.sql,659.692034,655.663386,17.365778,10
monetdb,query_96.sql,0.121109,0.123738,0.009905,10
monetdb,query_97.sql,27.166885,27.218938,4.514932,10
monetdb,query_98.sql,0.727718,0.728277,0.041365,10
monetdb,query_99.sql,3.317009,3.317497,0.136455,10
