engine,query_name,run_idx,execution_time_s
duckdb,query_32.sql,3,0.331209
duckdb,query_33.sql,3,0.888332
duckdb,query_34.sql,3,0.842576
duckdb,query_35.sql,3,1.048139
duckdb,query_36.sql,3,0.861743
duckdb,query_37.sql,3,0.952117
duckdb,query_38.sql,3,0.866380
duckdb,query_39.sql,3,0.533888
duckdb,query_40.sql,3,0.470885
duckdb,query_41.sql,3,0.256696
duckdb,query_42.sql,3,0.656531
duckdb,query_43.sql,3,0.674443
duckdb,query_44.sql,3,0.757595
duckdb,query_45.sql,3,0.556933
duckdb,query_46.sql,3,0.987537
duckdb,query_47.sql,3,2.083681
duckdb,query_48.sql,3,0.906556
duckdb,query_49.sql,3,1.145805
duckdb,query_50.sql,3,0.753713
duckdb,query_51.sql,3,3.643906
duckdb,query_52.sql,3,0.685952
duckdb,query_53.sql,3,0.710647
duckdb,query_54.sql,3,0.869181
duckdb,query_55.sql,3,0.579012
duckdb,query_56.sql,3,1.075180
duckdb,query_57.sql,3,1.055817
duckdb,query_58.sql,3,1.106082
duckdb,query_60.sql,3,1.099205
duckdb,query_61.sql,3,0.304093
duckdb,query_62.sql,3,0.489670
duckdb,query_63.sql,3,0.699563
duckdb,query_64.sql,3,2.177218
duckdb,query_65.sql,3,1.461291
duckdb,query_66.sql,3,0.830924
duckdb,query_67.sql,3,7.272242
duckdb,query_68.sql,3,1.008602
duckdb,query_69.sql,3,0.746250
duckdb,query_70.sql,3,0.729881
duckdb,query_71.sql,3,1.057115
duckdb,query_72.sql,3,1.182892
duckdb,query_73.sql,3,0.787842
duckdb,query_74.sql,3,1.224936
duckdb,query_75.sql,3,2.085738
duckdb,query_76.sql,3,1.117272
duckdb,query_77.sql,3,0.867350
duckdb,query_78.sql,3,3.169470
duckdb,query_79.sql,3,0.796330
duckdb,query_80.sql,3,1.611182
duckdb,query_81.sql,3,0.661906
duckdb,query_82.sql,3,0.621188
duckdb,query_83.sql,3,0.441358
duckdb,query_84.sql,3,0.300316
duckdb,query_85.sql,3,0.676932
duckdb,query_86.sql,3,0.560593
duckdb,query_87.sql,3,0.879599
duckdb,query_88.sql,3,0.932523
duckdb,query_89.sql,3,0.780588
duckdb,query_90.sql,3,0.318971
duckdb,query_91.sql,3,0.313140
duckdb,query_92.sql,3,0.448448
duckdb,query_93.sql,3,2.183659
duckdb,query_94.sql,3,0.512900
duckdb,query_95.sql,3,1.469118
duckdb,query_96.sql,3,0.498576
duckdb,query_97.sql,3,1.701951
duckdb,query_98.sql,3,0.910700
duckdb,query_99.sql,3,0.564342
duckdb,query_1.sql,4,0.455619
duckdb,query_2.sql,4,0.615789
duckdb,query_3.sql,4,0.557487
duckdb,query_4.sql,4,2.287689
duckdb,query_5.sql,4,1.258255
duckdb,query_6.sql,4,0.702398
duckdb,query_7.sql,4,1.073847
duckdb,query_8.sql,4,0.932758
duckdb,query_9.sql,4,0.850379
duckdb,query_10.sql,4,0.766213
duckdb,query_11.sql,4,1.583546
duckdb,query_12.sql,4,0.515845
duckdb,query_13.sql,4,0.996139
duckdb,query_14.sql,4,4.493885
duckdb,query_15.sql,4,0.400655
duckdb,query_16.sql,4,0.413175
duckdb,query_17.sql,4,0.982489
duckdb,query_18.sql,4,0.492151
duckdb,query_19.sql,4,0.940293
duckdb,query_20.sql,4,0.391009
duckdb,query_21.sql,4,0.368759
duckdb,query_22.sql,4,2.256400
duckdb,query_23.sql,4,3.772031
duckdb,query_24.sql,4,0.737879
duckdb,query_25.sql,4,0.891829
duckdb,query_26.sql,4,0.496819
duckdb,query_27.sql,4,1.115406
duckdb,query_28.sql,4,0.974131
duckdb,query_29.sql,4,1.049501
duckdb,query_30.sql,4,0.518069
duckdb,query_31.sql,4,0.752050
duckdb,query_32.sql,4,0.323015
duckdb,query_33.sql,4,1.105031
duckdb,query_34.sql,4,0.900761
duckdb,query_35.sql,4,1.011957
duckdb,query_36.sql,4,0.880393
duckdb,query_37.sql,4,0.730681
duckdb,query_38.sql,4,0.860218
duckdb,query_39.sql,4,0.518646
duckdb,query_40.sql,4,0.540791
duckdb,query_41.sql,4,0.261630
duckdb,query_42.sql,4,0.619402
duckdb,query_43.sql,4,0.671225
duckdb,query_44.sql,4,0.727172
duckdb,query_45.sql,4,0.545911
duckdb,query_46.sql,4,1.049097
duckdb,query_47.sql,4,2.066977
duckdb,query_48.sql,4,0.937283
duckdb,query_49.sql,4,1.283180
duckdb,query_50.sql,4,0.778238
duckdb,query_51.sql,4,3.657407
duckdb,query_52.sql,4,0.721056
duckdb,query_53.sql,4,0.756072
duckdb,query_54.sql,4,0.870062
duckdb,query_55.sql,4,0.663499
duckdb,query_56.sql,4,0.978920
duckdb,query_57.sql,4,1.078233
duckdb,query_58.sql,4,1.087413
duckdb,query_60.sql,4,1.018189
duckdb,query_61.sql,4,0.288562
duckdb,query_62.sql,4,0.472473
duckdb,query_63.sql,4,0.655775
duckdb,query_64.sql,4,2.174153
duckdb,query_65.sql,4,1.477541
duckdb,query_66.sql,4,0.590024
duckdb,query_67.sql,4,6.921242
duckdb,query_68.sql,4,1.006037
duckdb,query_69.sql,4,0.729282
duckdb,query_70.sql,4,0.773695
duckdb,query_71.sql,4,0.947864
duckdb,query_72.sql,4,1.194439
duckdb,query_73.sql,4,0.618915
duckdb,query_74.sql,4,1.248380
duckdb,query_75.sql,4,2.024401
duckdb,query_76.sql,4,1.027290
duckdb,query_77.sql,4,0.809433
duckdb,query_78.sql,4,3.299615
duckdb,query_79.sql,4,0.829074
duckdb,query_80.sql,4,1.662260
duckdb,query_81.sql,4,0.598561
duckdb,query_82.sql,4,0.590661
duckdb,query_83.sql,4,0.443163
duckdb,query_84.sql,4,0.306871
duckdb,query_85.sql,4,0.703923
duckdb,query_86.sql,4,0.578096
duckdb,query_87.sql,4,0.935381
duckdb,query_88.sql,4,1.070850
duckdb,query_89.sql,4,0.727735
duckdb,query_90.sql,4,0.303269
duckdb,query_91.sql,4,0.321808
duckdb,query_92.sql,4,0.445247
duckdb,query_93.sql,4,2.135521
duckdb,query_94.sql,4,0.468769
duckdb,query_95.sql,4,1.560854
duckdb,query_96.sql,4,0.465592
duckdb,query_97.sql,4,1.548106
duckdb,query_98.sql,4,0.931419
duckdb,query_99.sql,4,0.590329
duckdb,query_1.sql,5,0.493120
duckdb,query_2.sql,5,0.589743
duckdb,query_3.sql,5,0.595917
duckdb,query_4.sql,5,2.321225
duckdb,query_5.sql,5,1.274585
duckdb,query_6.sql,5,0.801169
duckdb,query_7.sql,5,0.988439
duckdb,query_8.sql,5,0.852668
duckdb,query_9.sql,5,0.883861
duckdb,query_10.sql,5,0.704088
duckdb,query_11.sql,5,1.641148
duckdb,query_12.sql,5,0.494553
duckdb,query_13.sql,5,0.957330
duckdb,query_14.sql,5,4.767339
duckdb,query_15.sql,5,0.399605
duckdb,query_16.sql,5,0.482803
duckdb,query_17.sql,5,1.227919
duckdb,query_18.sql,5,0.455624
duckdb,query_19.sql,5,1.075298
duckdb,query_20.sql,5,0.435587
duckdb,query_21.sql,5,0.366520
duckdb,query_22.sql,5,2.314167
duckdb,query_23.sql,5,3.861673
duckdb,query_24.sql,5,0.795333
duckdb,query_25.sql,5,0.867620
duckdb,query_26.sql,5,0.461651
duckdb,query_27.sql,5,1.099610
duckdb,query_28.sql,5,0.956086
duckdb,query_29.sql,5,0.948041
duckdb,query_30.sql,5,0.524610
duckdb,query_31.sql,5,0.721908
duckdb,query_32.sql,5,0.348860
duckdb,query_33.sql,5,0.957264
duckdb,query_34.sql,5,0.795741
duckdb,query_35.sql,5,1.054127
duckdb,query_36.sql,5,0.884645
duckdb,query_37.sql,5,0.725591
duckdb,query_38.sql,5,0.887735
duckdb,query_39.sql,5,0.582780
duckdb,query_40.sql,5,0.479866
duckdb,query_41.sql,5,0.247021
duckdb,query_42.sql,5,0.658616
duckdb,query_43.sql,5,0.655818
duckdb,query_44.sql,5,0.669314
duckdb,query_45.sql,5,0.534003
duckdb,query_46.sql,5,1.047367
duckdb,query_47.sql,5,2.054067
duckdb,query_48.sql,5,0.890595
duckdb,query_49.sql,5,1.407116
duckdb,query_50.sql,5,0.728319
duckdb,query_51.sql,5,3.654583
duckdb,query_52.sql,5,0.627552
duckdb,query_53.sql,5,0.758729
duckdb,query_54.sql,5,0.866833
duckdb,query_55.sql,5,0.620903
