suite,query_name,outcome,n_successful_timed_runs,instance_weight,median_ms,min_ms,max_ms,iqr_ms
prodds_templates,query_36,complete,10,1,67.958,64.533,71.439,3.139
prodds_templates,query_37,complete,10,1,103.998,97.745,113.501,9.351
prodds_templates,query_38,complete,10,1,102.939,93.567,112.348,12.252
prodds_templates,query_39,complete,10,1,131.950,118.202,167.714,29.547
prodds_templates,query_4,complete,10,1,56.445,51.052,65.993,1.139
prodds_templates,query_40,complete,10,1,18.557,15.959,22.948,2.519
prodds_templates,query_41,complete,10,1,264.403,229.575,286.553,18.885
prodds_templates,query_42,complete,10,1,411.576,390.540,432.539,19.916
prodds_templates,query_43,complete,10,1,234.647,195.544,248.409,34.347
prodds_templates,query_44,complete,10,1,39.691,34.056,42.333,3.095
prodds_templates,query_45,complete,10,1,104.303,89.243,136.620,12.252
prodds_templates,query_46,complete,10,1,20659.992,20453.617,20757.528,124.755
prodds_templates,query_47,complete,10,1,516.146,458.942,602.222,30.263
prodds_templates,query_48,complete,10,1,202.077,189.498,257.840,8.981
prodds_templates,query_49,complete,10,1,69.498,66.418,75.720,1.532
prodds_templates,query_5,complete,10,1,98.818,91.832,105.994,7.544
prodds_templates,query_50,complete,10,1,71.544,65.284,90.858,11.217
prodds_templates,query_51,complete,10,1,425.960,417.136,443.571,14.124
prodds_templates,query_52,complete,10,1,113.282,107.705,118.772,5.704
prodds_templates,query_53,complete,10,1,137.347,126.218,150.075,8.381
prodds_templates,query_54,complete,10,1,116.569,102.343,138.673,6.709
prodds_templates,query_55,complete,10,1,294.762,289.779,303.406,7.473
prodds_templates,query_56,complete,10,1,69.143,66.113,77.956,4.098
prodds_templates,query_57,complete,10,1,74.270,64.445,84.137,11.324
prodds_templates,query_58,complete,10,1,81.025,72.055,87.961,6.258
prodds_templates,query_59,complete,10,1,102.662,84.986,106.508,13.943
prodds_templates,query_6,complete,10,1,106.148,99.139,124.302,6.106
prodds_templates,query_60,complete,10,1,86.311,84.742,107.823,3.805
prodds_templates,query_61,complete,10,1,58.532,55.571,63.607,2.967
prodds_templates,query_62,complete,10,1,31.332,29.785,33.557,0.873
prodds_templates,query_63,complete,10,1,346.489,339.409,395.153,14.742
prodds_templates,query_64,complete,10,1,31.123,26.597,43.023,4.121
prodds_templates,query_65,complete,10,1,28.789,25.921,47.783,1.023
prodds_templates,query_66,complete,10,1,156.946,153.759,171.333,6.628
prodds_templates,query_67,complete,10,1,26.366,25.184,28.331,1.302
prodds_templates,query_68,complete,10,1,134.375,131.681,138.415,1.742
prodds_templates,query_69,complete,10,1,374.819,363.958,406.814,6.334
prodds_templates,query_7,complete,10,1,48.976,45.518,96.607,5.735
prodds_templates,query_70,complete,10,1,181.908,159.781,232.392,6.670
prodds_templates,query_71,complete,10,1,182.787,178.546,199.446,6.123
prodds_templates,query_72,complete,10,1,121.945,110.840,127.835,10.303
prodds_templates,query_73,complete,10,1,65.835,60.725,77.926,4.268
prodds_templates,query_74,complete,10,1,92.191,90.926,102.067,5.299
prodds_templates,query_75,complete,10,1,41.858,37.614,51.944,6.370
prodds_templates,query_76,complete,10,1,151.887,138.815,167.958,10.523
prodds_templates,query_77,complete,10,1,113.251,97.499,127.504,7.609
prodds_templates,query_78,complete,10,1,50.561,47.149,54.566,4.714
prodds_templates,query_79,complete,10,1,43.556,41.434,45.512,1.629
prodds_templates,query_8,complete,10,1,81.960,79.968,85.490,2.967
prodds_templates,query_80,complete,10,1,23.324,21.279,27.058,2.481
prodds_templates,query_81,complete,10,1,105.887,100.023,113.264,4.675
prodds_templates,query_82,complete,10,1,44.310,42.433,50.485,1.807
prodds_templates,query_83,complete,10,1,65.117,61.077,69.482,5.456
prodds_templates,query_84,complete,10,1,92.796,89.904,100.372,4.931
prodds_templates,query_85,complete,10,1,120.037,111.970,150.583,14.800
prodds_templates,query_86,complete,10,1,91.072,87.917,93.686,2.719
prodds_templates,query_87,complete,10,1,309.721,290.223,324.853,10.150
prodds_templates,query_88,complete,10,1,108.037,91.498,118.979,8.779
prodds_templates,query_89,complete,10,1,69.039,63.117,75.616,2.027
prodds_templates,query_9,complete,10,1,174.290,165.885,190.346,8.281
prodds_templates,query_90,complete,10,1,99.768,90.900,110.415,6.401
prodds_templates,query_91,complete,10,1,116.519,93.645,124.156,5.995
prodds_templates,query_92,complete,10,1,94.416,87.087,102.208,4.185
prodds_templates,query_93,complete,10,1,250.401,235.586,257.426,11.852
prodds_templates,query_94,complete,10,1,199.462,132.485,208.590,54.560
prodds_templates,query_95,complete,10,1,60.141,56.845,72.650,2.058
prodds_templates,query_96,complete,10,1,87.942,82.942,108.008,8.558
prodds_templates,query_97,complete,10,1,76.827,73.471,89.037,4.501
prodds_templates,query_98,complete,10,1,98.325,94.854,120.272,16.979
prodds_templates,query_99,complete,10,1,80.930,77.050,90.118,7.927
tpcds,query_1,complete,10,1,13.917,12.544,17.347,1.516
tpcds,query_10,complete,10,1,182.979,176.558,195.990,9.597
tpcds,query_11,complete,10,1,34.373,27.856,46.655,6.133
tpcds,query_12,complete,10,1,40.198,34.408,42.494,4.125
tpcds,query_13,complete,10,1,28.704,23.758,41.759,6.753
tpcds,query_14,complete,10,1,32.912,25.990,41.234,6.104
tpcds,query_15,complete,10,1,31.675,27.803,39.853,6.137
tpcds,query_16,complete,10,1,120.144,98.967,148.259,25.282
tpcds,query_17,complete,10,1,47.403,37.552,72.028,13.147
tpcds,query_18,complete,10,1,109.815,94.416,143.766,22.265
tpcds,query_19,complete,10,1,57.951,49.771,73.885,10.178
tpcds,query_2,complete,10,1,69.396,57.278,73.285,10.668
tpcds,query_20,complete,10,1,196.219,173.773,218.837,8.444
tpcds,query_21,complete,10,1,738.102,712.576,760.999,32.565
tpcds,query_22,complete,10,1,46.285,42.581,64.183,3.774
tpcds,query_23,complete,10,1,201.617,185.419,208.413,11.100
tpcds,query_24,complete,10,1,47.546,43.613,64.936,5.933
tpcds,query_25,complete,10,1,34.043,25.999,87.472,5.904
tpcds,query_26,complete,10,1,85.423,73.713,101.576,11.783
tpcds,query_27,complete,10,1,39.022,32.074,62.145,11.661
tpcds,query_28,complete,10,1,76.081,69.361,113.814,5.571
tpcds,query_29,complete,10,1,55.487,46.403,80.218,16.287
tpcds,query_3,complete,10,1,295.234,263.555,344.215,25.661
tpcds,query_30,complete,10,1,141.374,134.230,154.600,4.434
tpcds,query_31,complete,10,1,89.828,72.607,102.173,8.803
tpcds,query_32,complete,10,1,100.498,90.349,120.573,3.389
tpcds,query_33,complete,10,1,71.828,64.369,80.153,3.385
tpcds,query_34,complete,10,1,69.680,62.993,97.095,5.068
tpcds,query_35,complete,10,1,773.148,741.992,803.553,34.101
tpcds,query_36,complete,10,1,74.602,62.168,82.786,8.906
tpcds,query_37,complete,10,1,116.204,96.819,130.230,17.003
tpcds,query_38,complete,10,1,113.068,105.860,135.035,15.269
tpcds,query_39,complete,10,1,64.675,44.948,78.796,6.971
tpcds,query_4,complete,10,1,43.560,37.819,61.107,9.309
tpcds,query_40,complete,10,1,18.139,13.858,24.825,4.733
tpcds,query_41,complete,10,1,107.233,76.297,130.600,18.550
tpcds,query_42,complete,10,1,282.745,251.199,313.394,18.189
tpcds,query_43,complete,10,1,261.531,227.200,284.499,11.945
tpcds,query_44,complete,10,1,32.013,24.919,38.623,3.660
tpcds,query_45,complete,10,1,22.026,19.721,29.754,4.762
tpcds,query_46,complete,10,1,944.200,852.489,975.937,37.971
tpcds,query_47,complete,10,1,186.488,171.002,206.269,17.666
tpcds,query_48,complete,10,1,64.373,50.079,86.641,13.734
tpcds,query_49,complete,10,1,65.422,59.500,75.667,5.503
tpcds,query_5,complete,10,1,89.940,79.034,114.033,11.453
tpcds,query_50,complete,10,1,79.196,70.975,104.208,7.493
tpcds,query_51,complete,10,1,280.688,239.123,301.358,14.767
tpcds,query_52,complete,10,1,80.076,74.595,98.976,7.425
tpcds,query_53,complete,10,1,59.922,50.378,66.877,5.462
tpcds,query_54,complete,10,1,105.836,91.656,122.087,10.308
tpcds,query_55,complete,10,1,787.260,765.696,804.164,25.114
tpcds,query_56,complete,10,1,50.276,43.853,62.584,8.080
tpcds,query_57,complete,10,1,77.107,72.137,107.038,9.263
tpcds,query_58,complete,10,1,123.458,95.073,162.308,22.404
tpcds,query_59,complete,10,1,54.981,36.981,66.471,11.163
tpcds,query_6,complete,10,1,111.898,94.432,168.074,27.662
tpcds,query_60,complete,10,1,98.144,81.459,131.024,22.001
tpcds,query_61,complete,10,1,52.182,33.707,104.426,18.386
tpcds,query_62,complete,10,1,58.224,33.990,89.812,23.956
tpcds,query_63,complete,10,1,498.627,446.638,543.364,59.440
tpcds,query_64,complete,10,1,171.945,134.975,218.080,32.372
tpcds,query_65,complete,10,1,149.654,109.278,203.932,41.366
tpcds,query_66,complete,10,1,294.415,220.119,345.933,36.470
tpcds,query_67,complete,10,1,110.404,80.143,146.342,22.063
tpcds,query_68,complete,10,1,310.255,291.984,322.240,10.401
tpcds,query_69,complete,10,1,353.321,328.351,373.331,27.479
tpcds,query_7,complete,10,1,28.848,20.809,42.685,7.952
tpcds,query_70,complete,10,1,228.765,181.078,262.399,35.349
tpcds,query_71,complete,10,1,101.038,93.272,110.279,11.346
tpcds,query_72,complete,10,1,82.350,71.200,90.730,10.505
tpcds,query_73,complete,10,1,46.925,42.180,64.534,3.867
tpcds,query_74,complete,10,1,98.441,90.801,107.572,3.446
tpcds,query_75,complete,10,1,102.208,83.164,133.793,16.675
tpcds,query_76,complete,10,1,167.128,159.874,187.573,12.393
tpcds,query_77,complete,10,1,135.185,118.907,148.924,17.809
tpcds,query_78,complete,10,1,37.438,28.164,47.850,7.692
tpcds,query_79,complete,10,1,39.822,35.072,77.011,5.931
tpcds,query_8,complete,10,1,61.528,52.565,96.350,5.870
tpcds,query_80,complete,10,1,38.020,25.848,43.929,6.447
tpcds,query_81,complete,10,1,65.729,60.369,99.235,3.014
tpcds,query_82,complete,10,1,22.759,20.631,31.205,3.489
tpcds,query_83,complete,10,1,48.308,44.275,56.270,5.585
tpcds,query_84,complete,10,1,63.674,57.300,71.826,2.525
tpcds,query_85,complete,10,1,61.767,58.208,74.876,8.069
tpcds,query_86,complete,10,1,42.163,36.423,54.772,9.969
tpcds,query_87,complete,10,1,232.963,221.889,282.516,10.248
tpcds,query_88,complete,10,1,49.065,38.409,60.815,9.087
tpcds,query_89,complete,10,1,76.214,71.305,81.731,1.635
tpcds,query_9,complete,10,1,41.678,37.087,51.144,8.545
tpcds,query_90,complete,10,1,172.094,150.245,195.238,13.764
tpcds,query_91,complete,10,1,98.681,95.552,110.217,6.753
tpcds,query_92,complete,10,1,72.908,60.315,80.174,5.651
tpcds,query_93,complete,10,1,318.591,307.666,342.505,18.096
tpcds,query_94,complete,10,1,71.230,62.245,96.308,19.403
tpcds,query_95,complete,10,1,75.886,68.238,89.597,8.998
tpcds,query_96,complete,10,1,25.979,21.548,31.980,5.383
tpcds,query_97,complete,10,1,75.279,68.548,78.258,3.671
tpcds,query_98,complete,10,1,88.621,72.868,115.382,32.845
tpcds,query_99,complete,10,1,35.981,32.001,42.183,2.406
dsb,agg_queries__s0_q00,complete,10,1,30.425,25.535,34.306,3.459
dsb,agg_queries__s0_q01,complete,10,1,99.470,93.543,115.120,12.356
dsb,agg_queries__s0_q02,complete,10,1,90.414,81.400,107.229,9.562
dsb,agg_queries__s0_q03,complete,10,1,42.248,37.880,48.762,4.409
dsb,agg_queries__s0_q04,complete,10,1,15.352,13.328,17.073,1.548
dsb,agg_queries__s0_q05,complete,10,1,72.454,65.502,76.453,4.185
dsb,agg_queries__s0_q06,complete,10,1,84.246,67.757,94.290,3.712
dsb,agg_queries__s0_q07,complete,10,1,239.875,232.566,301.768,9.763
dsb,agg_queries__s0_q08,complete,10,1,15.652,14.395,19.910,0.718
dsb,agg_queries__s0_q09,complete,10,1,45.361,38.602,51.818,9.910
dsb,agg_queries__s0_q10,complete,10,1,32.520,24.328,49.707,9.120
dsb,agg_queries__s0_q11,complete,10,1,72.106,68.734,96.609,4.462
dsb,agg_queries__s0_q12,complete,10,1,48.372,43.114,57.055,6.141
dsb,agg_queries__s0_q13,complete,10,1,79.406,76.457,97.014,8.000
dsb,agg_queries__s0_q14,complete,10,1,14.999,13.437,19.957,0.639
dsb,agg_queries__s1_q00,complete,10,1,32.617,30.163,41.076,2.867
dsb,agg_queries__s1_q01,complete,10,1,13.165,11.576,16.216,2.214
dsb,agg_queries__s1_q02,complete,10,1,46.438,43.021,52.412,5.492
dsb,agg_queries__s1_q03,complete,10,1,82.556,78.078,94.848,5.241
dsb,agg_queries__s1_q04,complete,10,1,65.501,58.224,72.303,5.327
dsb,agg_queries__s1_q05,complete,10,1,27.622,24.477,39.232,4.256
dsb,agg_queries__s1_q06,complete,10,1,64.847,58.100,75.840,6.053
dsb,agg_queries__s1_q07,complete,10,1,86.641,69.536,91.162,6.485
dsb,agg_queries__s1_q08,complete,10,1,26.591,25.607,40.966,0.492
dsb,agg_queries__s1_q09,complete,10,1,124.297,104.446,137.539,23.983
dsb,agg_queries__s1_q10,complete,10,1,12.142,10.461,19.312,2.449
dsb,agg_queries__s1_q11,complete,10,1,46.127,39.852,54.657,5.303
dsb,agg_queries__s1_q12,complete,10,1,49.636,41.668,57.617,8.913
dsb,agg_queries__s1_q13,complete,10,1,224.944,219.670,247.261,17.048
dsb,agg_queries__s1_q14,complete,10,1,68.466,59.487,73.452,5.427
dsb,multi_block_queries__s0_q00,complete,10,1,24.972,20.194,31.167,3.648
dsb,multi_block_queries__s0_q01,complete,10,1,171.134,129.917,211.399,32.517
dsb,multi_block_queries__s0_q02,complete,10,1,22.008,19.040,24.685,1.639
dsb,multi_block_queries__s0_q03,complete,10,1,35.472,33.641,42.647,3.770
dsb,multi_block_queries__s0_q04,complete,10,1,46.947,37.825,55.058,5.523
dsb,multi_block_queries__s0_q05,complete,10,1,111.349,103.767,128.750,6.824
dsb,multi_block_queries__s0_q06,complete,10,1,156.291,137.370,177.471,15.901
dsb,multi_block_queries__s0_q07,complete,10,1,46.228,43.232,49.675,2.669
dsb,multi_block_queries__s0_q08,complete,10,1,36.386,32.098,55.604,1.875
dsb,multi_block_queries__s0_q09,complete,10,1,24.614,22.095,26.977,1.880
dsb,multi_block_queries__s0_q10,complete,10,1,39.417,37.520,41.579,2.329
dsb,multi_block_queries__s0_q11,complete,10,1,51.343,45.309,71.033,6.441
dsb,multi_block_queries__s0_q12,complete,10,1,19.608,18.363,21.995,0.573
dsb,multi_block_queries__s0_q13,complete,10,1,49.817,45.046,56.514,1.580
dsb,multi_block_queries__s0_q14,complete,10,1,79.471,76.366,113.694,5.843
dsb,multi_block_queries__s0_q15,complete,10,1,115.709,104.031,128.421,10.996
dsb,multi_block_queries__s0_q16,complete,10,1,31.548,28.007,35.585,3.253
dsb,multi_block_queries__s0_q17,complete,10,1,26.974,23.204,34.446,5.088
dsb,multi_block_queries__s0_q18,complete,10,1,80.464,63.595,92.224,10.210
dsb,multi_block_queries__s0_q19,complete,10,1,85.358,76.429,91.342,5.273
dsb,multi_block_queries__s0_q20,complete,10,1,65.443,60.113,68.568,3.212
dsb,multi_block_queries__s0_q21,complete,10,1,53.612,48.980,69.214,10.492
dsb,multi_block_queries__s1_q00,complete,10,1,156.120,124.365,198.146,27.708
dsb,multi_block_queries__s1_q01,complete,10,1,30.486,24.410,58.038,20.377
dsb,multi_block_queries__s1_q02,complete,10,1,22.462,19.538,45.832,2.931
dsb,multi_block_queries__s1_q03,complete,10,1,40.279,35.222,84.792,3.145
dsb,multi_block_queries__s1_q04,complete,10,1,20.657,18.248,27.633,1.923
dsb,multi_block_queries__s1_q05,complete,10,1,26.227,22.539,53.253,9.753
dsb,multi_block_queries__s1_q06,complete,10,1,34.584,28.681,74.496,5.755
dsb,multi_block_queries__s1_q07,complete,10,1,34.472,28.079,86.493,5.452
dsb,multi_block_queries__s1_q08,complete,10,1,41.606,36.970,44.812,4.910
dsb,multi_block_queries__s1_q09,complete,10,1,50.451,37.510,52.429,5.630
dsb,multi_block_queries__s1_q10,complete,10,1,86.651,83.181,91.898,2.563
dsb,multi_block_queries__s1_q11,complete,10,1,60.517,51.686,66.681,9.959
dsb,multi_block_queries__s1_q12,complete,10,1,67.856,61.192,73.072,8.921
dsb,multi_block_queries__s1_q13,complete,10,1,51.846,44.435,54.879,5.865
dsb,multi_block_queries__s1_q14,complete,10,1,144.533,118.861,181.295,11.584
dsb,multi_block_queries__s1_q15,complete,10,1,114.209,106.777,124.130,7.037
dsb,multi_block_queries__s1_q16,complete,10,1,64.815,61.840,81.682,3.124
dsb,multi_block_queries__s1_q17,complete,10,1,107.132,92.502,144.196,21.121
dsb,multi_block_queries__s1_q18,complete,10,1,15.820,14.454,39.951,1.559
dsb,multi_block_queries__s1_q19,complete,10,1,103.257,73.895,131.975,31.409
dsb,multi_block_queries__s1_q20,complete,10,1,38.153,31.938,46.105,5.301
dsb,multi_block_queries__s1_q21,complete,10,1,63.264,57.906,66.241,2.527
dsb,spj_queries__s0_q00,complete,10,1,26.706,24.323,30.371,2.218
dsb,spj_queries__s0_q01,complete,10,1,78.383,62.127,95.087,5.974
dsb,spj_queries__s0_q02,complete,10,1,75.544,70.661,127.017,5.899
dsb,spj_queries__s0_q03,complete,10,1,33.463,30.769,40.742,4.407
dsb,spj_queries__s0_q04,complete,10,1,13.620,12.004,56.409,2.057
dsb,spj_queries__s0_q05,complete,10,1,65.841,60.773,101.001,3.328
dsb,spj_queries__s0_q06,complete,10,1,79.908,72.439,97.504,5.955
dsb,spj_queries__s0_q07,complete,10,1,153.982,124.804,178.661,22.199
dsb,spj_queries__s0_q08,complete,10,1,11.331,9.963,16.533,2.045
dsb,spj_queries__s0_q09,complete,10,1,22.771,21.169,31.456,2.311
dsb,spj_queries__s0_q10,complete,10,1,22.902,18.933,38.541,2.090
dsb,spj_queries__s0_q11,complete,10,1,60.043,47.391,65.698,5.149
dsb,spj_queries__s0_q12,complete,10,1,59.694,46.534,67.540,4.651
dsb,spj_queries__s0_q13,complete,10,1,56.791,54.407,83.635,7.448
dsb,spj_queries__s0_q14,complete,10,1,11.511,10.334,33.586,1.614
dsb,spj_queries__s1_q00,complete,10,1,23.567,18.954,27.278,2.087
