suite,engine,query_name,median_s,n_success
prodds,monetdb,query_43.sql,32.945500,10
prodds,monetdb,query_44.sql,0.123000,10
prodds,monetdb,query_45.sql,1.178500,10
prodds,monetdb,query_46.sql,129.430000,10
prodds,monetdb,query_47.sql,5.233500,10
prodds,monetdb,query_48.sql,21.570000,10
prodds,monetdb,query_49.sql,0.734500,10
prodds,monetdb,query_50.sql,9.006000,10
prodds,monetdb,query_51.sql,13.704000,10
prodds,monetdb,query_52.sql,11.671000,10
prodds,monetdb,query_53.sql,34.847500,10
prodds,monetdb,query_54.sql,9.795500,10
prodds,monetdb,query_55.sql,16.204000,10
prodds,monetdb,query_56.sql,0.404000,10
prodds,monetdb,query_57.sql,0.182000,10
prodds,monetdb,query_58.sql,1.855000,10
prodds,monetdb,query_59.sql,0.461000,10
prodds,monetdb,query_60.sql,2.786000,10
prodds,monetdb,query_61.sql,1.502000,10
prodds,monetdb,query_62.sql,0.027500,10
prodds,monetdb,query_63.sql,0.647000,10
prodds,monetdb,query_64.sql,0.086000,10
prodds,monetdb,query_65.sql,0.142000,10
prodds,monetdb,query_66.sql,0.415000,10
prodds,monetdb,query_67.sql,0.316000,10
prodds,monetdb,query_68.sql,44.122000,10
prodds,monetdb,query_69.sql,108.703500,10
prodds,monetdb,query_70.sql,0.707500,10
prodds,monetdb,query_71.sql,13.496000,10
prodds,monetdb,query_73.sql,0.170000,10
prodds,monetdb,query_74.sql,0.703000,10
prodds,monetdb,query_75.sql,0.174000,10
prodds,monetdb,query_76.sql,12.395500,10
prodds,monetdb,query_77.sql,9.942500,10
prodds,monetdb,query_79.sql,0.272000,10
prodds,monetdb,query_80.sql,0.077000,10
prodds,monetdb,query_81.sql,0.767000,10
prodds,monetdb,query_82.sql,0.253500,10
prodds,monetdb,query_83.sql,0.127000,10
prodds,monetdb,query_84.sql,15.706000,10
prodds,monetdb,query_85.sql,0.152500,10
prodds,monetdb,query_86.sql,1.948500,10
prodds,monetdb,query_87.sql,19.846000,10
prodds,monetdb,query_88.sql,0.391000,10
prodds,monetdb,query_89.sql,0.598500,10
prodds,monetdb,query_91.sql,0.604500,10
prodds,monetdb,query_92.sql,0.334500,10
prodds,monetdb,query_93.sql,28.166000,10
prodds,monetdb,query_94.sql,4.244000,10
prodds,monetdb,query_95.sql,0.191000,10
prodds,monetdb,query_97.sql,0.263500,10
prodds,monetdb,query_98.sql,12.300000,10
prodds,monetdb,query_99.sql,0.478500,10
prodds,monetdb,query_join_J50.sql,471.158000,10
prodds,monetdb,query_join_J100.sql,580.324500,10
prodds,monetdb,query_join_J200.sql,808.528500,10
prodds,monetdb,query_union_U2.sql,10.591000,10
prodds,monetdb,query_union_U5.sql,26.418000,10
