str_level,query_id,median_ms,runs_success
str3,query_72,436.0,10
str3,query_73,339.5,10
str3,query_74,355.5,10
str3,query_75,291.0,10
str3,query_76,403.5,10
str3,query_77,382.0,10
str3,query_78,258.0,10
str3,query_79,297.0,10
str3,query_80,219.5,10
str3,query_81,320.5,10
str3,query_82,257.5,10
str3,query_83,375.5,10
str3,query_84,360.5,10
str3,query_85,299.0,10
str3,query_86,251.5,10
str3,query_87,425.5,10
str3,query_88,253.0,10
str3,query_89,196.0,10
str3,query_90,358.0,10
str3,query_91,373.0,10
str3,query_92,253.5,10
str3,query_93,703.0,10
str3,query_94,388.5,10
str3,query_95,331.5,10
str3,query_96,289.5,10
str3,query_97,410.0,10
str3,query_98,305.5,10
str3,query_99,381.0,10
str3,query_join_J100,1662.0,10
str3,query_join_J200,2869.5,10
str3,query_union_U200,11999.5,10
str4,query_1,211.0,10
str4,query_2,396.0,10
str4,query_union_U2,265.0,10
str4,query_3,879.0,10
str4,query_4,194.5,10
str4,query_5,330.0,10
str4,query_union_U5,349.0,10
str4,query_6,383.5,10
str4,query_7,223.5,10
str4,query_8,375.0,10
str4,query_9,320.0,10
str4,query_10,665.5,10
str4,query_union_U10,650.5,10
str4,query_11,311.5,10
str4,query_12,287.5,10
str4,query_13,217.5,10
str4,query_14,271.5,10
str4,query_15,193.5,10
str4,query_16,423.0,10
str4,query_17,289.0,10
str4,query_18,328.5,10
str4,query_19,358.0,10
str4,query_20,509.0,10
str4,query_union_U20,1359.5,10
str4,query_21,995.0,10
str4,query_22,350.0,10
str4,query_23,732.5,10
str4,query_24,289.5,10
str4,query_25,227.0,10
str4,query_26,409.0,10
str4,query_27,284.5,10
str4,query_28,381.0,10
str4,query_29,490.5,10
str4,query_30,336.5,10
str4,query_31,239.0,10
str4,query_32,288.0,10
str4,query_33,337.5,10
str4,query_34,362.0,10
str4,query_35,1271.0,10
str4,query_36,372.0,10
str4,query_37,357.0,10
str4,query_38,440.0,10
str4,query_39,463.0,10
str4,query_40,195.5,10
str4,query_41,476.0,10
str4,query_42,589.0,10
str4,query_43,473.5,10
str4,query_44,241.5,10
str4,query_45,368.5,10
str4,query_46,1291.5,10
str4,query_47,641.0,10
str4,query_48,487.0,10
str4,query_49,252.5,10
str4,query_50,349.5,10
str4,query_join_J50,1099.0,10
str4,query_51,523.5,10
str4,query_52,251.5,10
str4,query_53,425.0,10
str4,query_54,379.5,10
str4,query_55,1504.5,10
str4,query_56,308.0,10
str4,query_57,293.5,10
str4,query_58,284.0,10
str4,query_59,406.0,10
str4,query_60,338.5,10
str4,query_61,370.0,10
str4,query_62,219.5,10
str4,query_63,498.0,10
str4,query_64,192.0,10
str4,query_65,193.0,10
str4,query_66,330.5,10
str4,query_67,325.0,10
str4,query_68,473.0,10
str4,query_69,671.0,10
str4,query_70,458.5,10
str4,query_71,513.0,10
str4,query_72,443.0,10
str4,query_73,339.5,10
str4,query_74,366.0,10
str4,query_75,304.0,10
str4,query_76,418.0,10
str4,query_77,389.5,10
str4,query_78,249.5,10
str4,query_79,296.0,10
str4,query_80,215.0,10
str4,query_81,346.0,10
str4,query_82,259.5,10
str4,query_83,372.0,10
str4,query_84,360.5,10
str4,query_85,297.5,10
str4,query_86,238.0,10
str4,query_87,417.0,10
str4,query_88,246.0,10
str4,query_89,214.0,10
str4,query_90,239.0,10
str4,query_91,388.0,10
str4,query_92,254.0,10
str4,query_93,643.0,10
str4,query_94,368.5,10
str4,query_95,360.0,10
str4,query_96,283.0,10
str4,query_97,439.0,10
str4,query_98,310.5,10
str4,query_99,411.5,10
str4,query_join_J100,1673.0,10
str4,query_join_J200,2904.5,10
str4,query_union_U200,12505.5,10
str5,query_1,211.0,10
str5,query_2,389.0,10
str5,query_union_U2,267.5,10
str5,query_3,884.0,10
str5,query_4,192.0,10
str5,query_5,324.0,10
