suite,query_id,latency_ms,status,n_rows,error
redbench,q0252,1.371,ok,1,
redbench,q0253,3.497,ok,1,
redbench,q0254,1.899,ok,1,
redbench,q0255,1.961,ok,1,
redbench,q0256,2.552,ok,1,
redbench,q0257,2.176,ok,1,
redbench,q0258,1.679,ok,1,
redbench,q0259,2.207,ok,1,
redbench,q0260,4.013,ok,1,
redbench,q0261,1.618,ok,1,
redbench,q0262,28.594,ok,1,
redbench,q0263,2.535,ok,1,
redbench,q0264,1.997,ok,1,
redbench,q0265,4.059,ok,1,
redbench,q0266,1.404,ok,1,
redbench,q0267,1.469,ok,1,
redbench,q0268,5.186,ok,1,
redbench,q0269,3.707,ok,1,
redbench,q0270,1.471,ok,1,
redbench,q0271,1.978,ok,1,
redbench,q0272,1.462,ok,1,
redbench,q0273,1.472,ok,1,
redbench,q0274,1.992,ok,1,
redbench,q0275,1.936,ok,1,
redbench,q0276,2.418,ok,1,
redbench,q0277,1.867,ok,1,
redbench,q0278,31.138,ok,1,
redbench,q0279,2.140,ok,1,
redbench,q0280,1.444,ok,1,
redbench,q0281,1.683,ok,1,
redbench,q0282,1.350,ok,1,
redbench,q0283,3.564,ok,1,
redbench,q0284,1.493,ok,1,
redbench,q0285,1.455,ok,1,
redbench,q0286,1.935,ok,1,
redbench,q0287,1.508,ok,1,
redbench,q0288,1.531,ok,1,
redbench,q0289,1.458,ok,1,
redbench,q0290,4.431,ok,1,
redbench,q0291,1.469,ok,1,
redbench,q0292,1.401,ok,1,
redbench,q0293,30.742,ok,1,
redbench,q0294,2.581,ok,1,
redbench,q0295,3.901,ok,1,
redbench,q0296,2.515,ok,1,
redbench,q0297,8.336,ok,1,
redbench,q0298,3.129,ok,1,
